Student ID,Subject ID,Score
576089,1,7
576089,2,5.5
576089,3,6.75
576089,4,0.25
576089,5,0.25
576089,6,3.75
528193,1,8.75
528193,2,8.25
528193,3,9.25
528193,4,1.75
528193,5,5.75
528193,6,1.5
580365,1,4.5
580365,2,0.75
580365,3,4.25
580365,4,5.25
580365,5,6.75
580365,6,6.25
564255,1,5.5
564255,2,0.5
564255,3,1
564255,4,10
564255,5,6.5
564255,6,2.75
520075,1,3.25
520075,2,4.25
520075,3,4.75
520075,4,7.75
520075,5,1.5
520075,6,9.75
542492,1,0.5
542492,2,1
542492,3,5.75
542492,4,7.5
542492,5,6.5
542492,6,6
524985,1,9.25
524985,2,2.75
524985,3,1.25
524985,4,2.5
524985,5,8.5
524985,6,8.75
549335,1,9.25
549335,2,9.5
549335,3,10
549335,4,9.5
549335,5,9.75
549335,6,6.75
537267,1,9.75
537267,2,7.25
537267,3,8.5
537267,4,1
537267,5,1
537267,6,4.75
501854,1,9.5
501854,2,8.25
501854,3,3
501854,4,0.5
501854,5,8.75
501854,6,9.75
510079,1,6.25
510079,2,2.75
510079,3,9.75
510079,4,8.75
510079,5,5.75
510079,6,0.25
512776,1,5
512776,2,0.25
512776,3,6.25
512776,4,7.5
512776,5,0.5
512776,6,9.25
538679,1,5.25
538679,2,1.25
538679,3,8
538679,4,5.25
538679,5,9.75
538679,6,4.25
520969,1,5.75
520969,2,1
520969,3,9
520969,4,8.75
520969,5,1.25
520969,6,9
548125,1,3
548125,2,8
548125,3,2.75
548125,4,1.25
548125,5,8.5
548125,6,9.5
511111,1,6.75
511111,2,10
511111,3,1.5
511111,4,6.25
511111,5,4.75
511111,6,2
531468,1,0.25
531468,2,5.5
531468,3,7.5
531468,4,9.25
531468,5,3
531468,6,9.5
526730,1,5.5
526730,2,2
526730,3,2.5
526730,4,6
526730,5,2.75
526730,6,5.5
570635,1,6.25
570635,2,3.75
570635,3,4.75
570635,4,9
570635,5,1.5
570635,6,6.25
577601,1,1
577601,2,6.75
577601,3,0
577601,4,7.5
577601,5,4
577601,6,9.75
564035,1,1.5
564035,2,5.75
564035,3,7.5
564035,4,3.75
564035,5,2.75
564035,6,5
588700,1,6.75
588700,2,3.5
588700,3,1.75
588700,4,9.5
588700,5,0.25
588700,6,2.75
584305,1,5
584305,2,7
584305,3,6
584305,4,0.75
584305,5,3.75
584305,6,1.25
565517,1,8
565517,2,6.25
565517,3,2.25
565517,4,1.5
565517,5,2.75
565517,6,3.5
519927,1,6.75
519927,2,1
519927,3,6.75
519927,4,7.75
519927,5,3
519927,6,9.5
530784,1,9.25
530784,2,1
530784,3,6
530784,4,1.25
530784,5,4
530784,6,9.25
505275,1,0.75
505275,2,4.5
505275,3,6
505275,4,6.75
505275,5,6.25
505275,6,0.5
593903,1,3
593903,2,7.25
593903,3,2.5
593903,4,1
593903,5,3.75
593903,6,4.75
546550,1,1.75
546550,2,9.25
546550,3,4
546550,4,6.75
546550,5,8.5
546550,6,10
587060,1,2.25
587060,2,8.25
587060,3,6
587060,4,6.5
587060,5,9.5
587060,6,9
523603,1,8
523603,2,2.25
523603,3,7.5
523603,4,9.5
523603,5,3.25
523603,6,7
513458,1,2
513458,2,0.5
513458,3,9.75
513458,4,8.25
513458,5,6.75
513458,6,4.25
566130,1,8.25
566130,2,4.75
566130,3,8.75
566130,4,3.75
566130,5,6.5
566130,6,7
530367,1,5.5
530367,2,2.25
530367,3,5.25
530367,4,6.25
530367,5,4.25
530367,6,9
579073,1,8.5
579073,2,5.5
579073,3,8
579073,4,10
579073,5,5
579073,6,1.5
526982,1,8
526982,2,7.25
526982,3,0.25
526982,4,2.5
526982,5,8.25
526982,6,8
584028,1,0
584028,2,8.25
584028,3,3
584028,4,6.25
584028,5,6
584028,6,1.75
582871,1,5.75
582871,2,9.75
582871,3,9.75
582871,4,9.25
582871,5,0.25
582871,6,6.25
534507,1,3.5
534507,2,9
534507,3,9.5
534507,4,5.75
534507,5,1
534507,6,0
595991,1,4
595991,2,1.75
595991,3,8.5
595991,4,3.75
595991,5,0.25
595991,6,3.75
548642,1,7
548642,2,6
548642,3,0.5
548642,4,7.5
548642,5,8.75
548642,6,2.25
521158,1,4
521158,2,0.25
521158,3,8
521158,4,4.75
521158,5,4.25
521158,6,4.5
575011,1,4.5
575011,2,3.75
575011,3,8.5
575011,4,1
575011,5,0.5
575011,6,1
561950,1,4.25
561950,2,4.75
561950,3,9.25
561950,4,6.25
561950,5,7.75
561950,6,2
552459,1,0
552459,2,3.75
552459,3,7.5
552459,4,9
552459,5,9.5
552459,6,4.5
517369,1,9.25
517369,2,8
517369,3,5.75
517369,4,5.5
517369,5,9.75
517369,6,10
525067,1,8.5
525067,2,0.5
525067,3,1
525067,4,9
525067,5,5
525067,6,8.5
502844,1,3.25
502844,2,7.75
502844,3,6.5
502844,4,9
502844,5,6.25
502844,6,2
512737,1,5
512737,2,7
512737,3,4.5
512737,4,8
512737,5,6.25
512737,6,8
506800,1,8.25
506800,2,2.25
506800,3,0
506800,4,6.25
506800,5,3.5
506800,6,0.25
546075,1,2.5
546075,2,9.5
546075,3,5
546075,4,6.5
546075,5,9.25
546075,6,4
585363,1,3.25
585363,2,8.75
585363,3,2.25
585363,4,3.25
585363,5,9
585363,6,1.75
510998,1,10
510998,2,1.75
510998,3,4.75
510998,4,1.75
510998,5,3.5
510998,6,0.75
533003,1,4
533003,2,4.25
